Inst,STABBR,PublicPrivate,md_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
"<a href=""http://www.aamu.edu/"">Alabama A & M University</a>",AL,13415,31400,47000,70000
"<a href=""http://www.uab.edu"">University of Alabama at Birmingham</a>",AL,14805,40300,57900,84000
"<a href=""http://www.amridgeuniversity.edu"">Amridge University</a>",AL,7455,38100,56100,79500
"<a href=""http://www.uah.edu"">University of Alabama in Huntsville</a>",AL,17520,46600,71300,93300
"<a href=""http://www.alasu.edu/email/index.aspx"">Alabama State University</a>",AL,11936,27800,42200,55400
"<a href=""http://www.ua.edu/"">The University of Alabama</a>",AL,20916,42400,60700,85000
"<a href=""http://www.cacc.edu"">Central Alabama Community College</a>",AL,6407,27100,41300,58800
"<a href=""http://www.aum.edu"">Auburn University at Montgomery</a>",AL,11915,34800,46300,66300
"<a href=""http://www.auburn.edu"">Auburn University</a>",AL,17541,45400,66200,91400
"<a href=""http://www.bsc.edu/"">Birmingham Southern College</a>",AL,22994,41900,60500,77600
"<a href=""http://www.cv.edu"">Chattahoochee Valley Community College</a>",AL,1873,27700,40600,58700
"<a href=""http://www.ccal.edu/"">Concordia College Alabama</a>",AL,12686,21300,33300,44500
"<a href=""http://southuniversity.edu"">South University-Montgomery</a>",AL,23152,29800,45900,67200
"<a href=""http://www.escc.edu"">Enterprise State Community College</a>",AL,5048,26300,41500,58700
"<a href=""http://www.faulknerstate.edu"">James H Faulkner State Community College</a>",AL,7404,28900,43300,59500
"<a href=""http://www.faulkner.edu"">Faulkner University</a>",AL,17660,37600,56600,80700
"<a href=""http://www.gadsdenstate.edu"">Gadsden State Community College</a>",AL,4565,26900,42200,58300
"<a href=""http://www.wallace.edu"">George C Wallace State Community College-Dothan</a>",AL,2681,27100,43100,64200
"<a href=""http://www.wallacestate.edu"">George C Wallace State Community College-Hanceville</a>",AL,6628,27800,42800,57100
"<a href=""http://www.wccs.edu"">George C Wallace State Community College-Selma</a>",AL,8712,24400,39400,57100
"<a href=""http://www.herzing.edu/birmingham"">Herzing University-Birmingham</a>",AL,22518,42300,58400,77200
"<a href=""http://www.huntingdon.edu"">Huntingdon College</a>",AL,17864,37100,47100,73200
"<a href=""http://www.drakestate.edu"">J F Drake State Community and Technical College</a>",AL,7163,23500,36000,49500
"<a href=""http://www.jsu.edu/"">Jacksonville State University</a>",AL,16078,35100,47500,64200
"<a href=""http://www.jdcc.edu"">Jefferson Davis Community College</a>",AL,3796,27200,42700,58600
"<a href=""http://www.jeffstateonline.com"">Jefferson State Community College</a>",AL,8799,30300,44600,61200
"<a href=""http://www.calhoun.edu"">John C Calhoun State Community College</a>",AL,5278,27200,43600,62800
"<a href=""http://www.judson.edu"">Judson College</a>",AL,17243,30700,42800,57100
"<a href=""http://www.lawsonstate.edu"">Lawson State Community College-Birmingham Campus</a>",AL,7406,22300,36500,51500
"<a href=""http://www.uwa.edu"">University of West Alabama</a>",AL,13221,33800,48500,63700
"<a href=""http://www.lbwcc.edu"">Lurleen B Wallace Community College</a>",AL,8041,28000,43300,60100
"<a href=""http://www.miles.edu"">Miles College</a>",AL,15217,27200,39100,51200
"<a href=""http://www.umobile.edu"">University of Mobile</a>",AL,17970,37800,55300,73400
"<a href=""http://www.montevallo.edu"">University of Montevallo</a>",AL,15003,35100,46600,62300
"<a href=""http://www.nwscc.edu"">Northwest-Shoals Community College</a>",AL,4678,26300,40800,59300
"<a href=""http://www.una.edu"">University of North Alabama</a>",AL,11476,36300,50600,68400
"<a href=""http://www.nacc.edu"">Northeast Alabama Community College</a>",AL,2544,28700,43600,58100
"<a href=""http://www.oakwood.edu"">Oakwood University</a>",AL,26954,33700,49900,75600
"<a href=""http://www.ascc.edu"">Alabama Southern Community College</a>",AL,4998,23200,36600,55300
"<a href=""http://www.rstc.edu"">Reid State Technical College</a>",AL,4912,20100,33200,45700
"<a href=""http://www.bishop.edu"">Bishop State Community College</a>",AL,5145,22600,37200,54300
"<a href=""http://www.samford.edu"">Samford University</a>",AL,24093,45800,74400,124000
"<a href=""http://www.sheltonstate.edu"">Shelton State Community College</a>",AL,8587,24300,38500,55800
"<a href=""http://www.snead.edu"">Snead State Community College</a>",AL,3884,26000,38700,52700
"<a href=""http://www.southalabama.edu"">University of South Alabama</a>",AL,13027,38300,56500,78800
"<a href=""http://www.shc.edu"">Spring Hill College</a>",AL,18555,43800,62300,84300
"<a href=""http://www.stillman.edu"">Stillman College</a>",AL,17473,24700,38500,51500
"<a href=""http://www.talladega.edu"">Talladega College</a>",AL,9062,25600,38200,53300
"<a href=""http://www.trenholmstate.edu"">H Councill Trenholm State Technical College</a>",AL,6067,21000,34100,49200
"<a href=""http://www.troy.edu"">Troy University</a>",AL,11168,36600,50900,70800
"<a href=""http://www.tuskegee.edu"">Tuskegee University</a>",AL,28909,37100,59900,81200
"<a href=""http://www.bscc.edu"">Bevill State Community College</a>",AL,8303,25900,40900,57300
"<a href=""http://www.uaa.alaska.edu"">University of Alaska Anchorage</a>",AK,8160,42000,62700,84200
"<a href=""http://www.uaf.edu"">University of Alaska Fairbanks</a>",AK,9372,38200,57900,81500
"<a href=""http://www.uas.alaska.edu"">University of Alaska Southeast</a>",AK,9462,39500,56600,74300
"<a href=""http://www.alaskapacific.edu"">Alaska Pacific University</a>",AK,30891,47400,60400,85000
"<a href=""http://www.chartercollege.edu"">Charter College-Anchorage</a>",AK,17691,42000,64000,86700
"<a href=""http://www.pwscc.edu"">Prince William Sound Community College</a>",AK,8775,42000,62700,84200
"<a href=""http://www.alaskacareercollege.edu"">Alaska Career College</a>",AK,14170,30900,42300,55400
"<a href=""http://www.everestcollegephoenix.edu"">Everest College-Phoenix</a>",AZ,20126,28300,39400,52700
"<a href=""http://www.empire.edu"">Empire Beauty School-Paradise Valley</a>",AZ,12328,19300,36900,57100
"<a href=""http://www.empire.edu"">Empire Beauty School-Tucson</a>",AZ,13660,16400,29900,43000
"<a href=""http://www.ait-schools.com"">American Institute of Technology</a>",AZ,19019,30700,45800,60000
"<a href=""http://www.carrington.edu"">Carrington College-Phoenix</a>",AZ,20501,26200,37600,52500
"<a href=""http://www.carrington.edu"">Carrington College-Mesa</a>",AZ,22169,26200,37600,52500
"<a href=""http://www.carrington.edu"">Carrington College-Tucson</a>",AZ,21229,26200,37600,52500
"<a href=""http://www.aai.edu"">Arizona Automotive Institute</a>",AZ,28404,33900,48100,64900
"<a href=""http://www.brooklinecollege.edu"">Brookline College-Phoenix</a>",AZ,25566,22300,33200,44000
"<a href=""http://www.asu.edu/"">Arizona State University-Tempe</a>",AZ,11480,45200,67500,93300
"<a href=""http://www.azwestern.edu"">Arizona Western College</a>",AZ,9095,25600,39100,57600
"<a href=""http://www.arizona.edu"">University of Arizona</a>",AZ,13617,44400,69900,99400
"<a href=""http://www.suva.edu"">Southwest University of Visual Arts-Tucson</a>",AZ,46298,27500,38300,54100
"<a href=""http://www.centralaz.edu"">Central Arizona College</a>",AZ,4310,28700,42500,59800
"<a href=""http://www.brownmackie.edu"">Brown Mackie College-Tucson</a>",AZ,19957,25200,39500,53800
"<a href=""http://www.cochise.edu"">Cochise College</a>",AZ,5017,31200,50200,74600
"<a href=""http://www.empire.edu"">Empire Beauty School-Flagstaff</a>",AZ,12798,16900,29700,47600
"<a href=""http://www.empire.edu"">Empire Beauty School-Chandler</a>",AZ,12513,16900,29700,47600
"<a href=""http://www.cortiva.com/"">Cortiva Institute-Tucson</a>",AZ,19534,21800,33400,53200
"<a href=""http://www.avalon.com"">Avalon School of Cosmetology-Mesa</a>",AZ,11591,17900,32100,42600
"<a href=""http://www.eac.edu"">Eastern Arizona College</a>",AZ,534,27800,46100,67500
"<a href=""http://www.erau.edu"">Embry-Riddle Aeronautical University-Prescott</a>",AZ,35470,60900,84500,115500
"<a href=""http://www.gccaz.edu"">Glendale Community College</a>",AZ,7763,33300,49000,69300
"<a href=""http://www.gcu.edu"">Grand Canyon University</a>",AZ,28309,45200,72100,96100
"<a href=""http://www.anthem.edu"">Anthem College-Phoenix</a>",AZ,28541,29500,42900,59200
"<a href=""http://www.kaplancollege.com/phoenix-az/"">Kaplan College-Phoenix</a>",AZ,17360,26300,38500,52200
"<a href=""http://www.gatewaycc.edu"">GateWay Community College</a>",AZ,8106,29800,47500,71800
"<a href=""http://www.mesacc.edu"">Mesa Community College</a>",AZ,8868,36000,55100,77700
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Tucson</a>",AZ,22313,38400,56000,77000
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Tempe</a>",AZ,22617,38400,56000,77000
"<a href=""http://www.mohave.edu"">Mohave Community College</a>",AZ,11346,26700,42000,62300
"<a href=""http://www.uti.edu/"">Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division</a>",AZ,19523,33800,47600,64200
"<a href=""http://www.dinecollege.edu"">Dine College</a>",AZ,8382,22500,34300,45700
